Assembly Accession	Assembly Name	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Number of Scaffolds
GCF_000006945.2	ASM694v2	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2		LT2					Annotation submitted by NCBI RefSeq	Complete Genome	2016-01-13		2
GCF_009035845.1	ASM903584v1	Acinetobacter baumannii		ATCC 19606					GCF_009035845.1-RS_2024_03_30	Complete Genome	2019-10-16		3
GCF_000412675.1	ASM41267v1	Pseudomonas putida NBRC 14164		NBRC 14164					GCF_000412675.1-RS_2024_12_11	Complete Genome	2013-06-14		1
GCF_019048245.1	ASM1904824v1	Enterobacter hormaechei		FDAARGOS 1433					GCF_019048245.1-RS_2024_03_31	Complete Genome	2021-06-28		3
GCF_900186865.1	49243_F02	Stenotrophomonas maltophilia		NCTC10257					GCF_900186865.1-RS_2024_05_05	Complete Genome	2017-08-15		1
GCF_020525545.1	ASM2052554v1	Klebsiella variicola subsp. variicola		F2R9T					GCF_020525545.1-RS_2024_12_09	Complete Genome	2021-10-19		1
GCF_020099175.1	ASM2009917v1	Klebsiella quasipneumoniae		FDAARGOS_1503					GCF_020099175.1-RS_2024_12_09	Complete Genome	2021-09-23		3
GCF_000014805.1	ASM1480v1	Aeromonas hydrophila subsp. hydrophila ATCC 7966		ATCC 7966					GCF_000014805.1-RS_2024_12_11	Complete Genome	2006-11-06		1
GCF_001941585.1	ASM194158v1	Legionella pneumophila		Philadelphia-1			AE		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-01-10		1
GCF_020736045.1	ASM2073604v1	Haemophilus influenzae		FDAARGOS_1560					GCF_020736045.1-RS_2024_12_09	Complete Genome	2021-11-03		1
GCF_019048385.1	ASM1904838v1	Pantoea agglomerans		FDAARGOS 1447					GCF_019048385.1-RS_2024_04_28	Complete Genome	2021-06-28		3
GCF_019048125.1	ASM1904812v1	Klebsiella aerogenes		FDAARGOS 1442					GCF_019048125.1-RS_2024_03_29	Complete Genome	2021-06-28		1
GCF_002224265.1	ASM222426v1	Vibrio vulnificus NBRC 15645 = ATCC 27562		ATCC 27562					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-07-24		2
GCF_006094455.1	ASM609445v1	Morganella morganii subsp. morganii		ATCC 25830					GCF_006094455.1-RS_2024_03_31	Complete Genome	2019-06-06		1
GCF_002950395.1	ASM295039v1	Shigella sonnei		ATCC 29930					GCF_002950395.1-RS_2024_04_16	Complete Genome	2018-02-23		2
GCF_036689615.1	ASM3668961v1	Pseudomonas chlororaphis subsp. chlororaphis		ATCC 9446					GCF_036689615.1-RS_2024_04_05	Complete Genome	2024-04-05		1
GCF_028891345.1	ASM2889134v1	Xylella fastidiosa		ICMP 15197					GCF_028891345.1-RS_2024_05_06	Complete Genome	2023-03-01		2
GCF_019048105.1	ASM1904810v1	Providencia rettgeri		FDAARGOS 1450					GCF_019048105.1-RS_2024_03_11	Complete Genome	2021-06-28		3
GCF_900636985.1	45889_C01	Klebsiella oxytoca		NCTC13727					GCF_900636985.1-RS_2024_11_26	Complete Genome	2018-12-20		1
GCF_900560965.1	PPRCHA0	Pseudomonas protegens CHA0		CHA0					GCF_900560965.1-RS_2024_12_13	Complete Genome	2019-03-14		1
GCF_000253175.1	ASM25317v1	Yersinia enterocolitica subsp. palearctica Y11		Y11					GCF_000253175.1-RS_2024_12_11	Complete Genome	2011-01-20		2
GCF_900476005.1	51438_H01	Aeromonas caviae		NCTC12244					GCF_900476005.1-RS_2024_12_11	Complete Genome	2018-06-17		1
GCF_001729805.1	ASM172980v1	Enterobacter roggenkampii		DSM 16690					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2016-09-16		2
GCF_003290385.1	ASM329038v1	Actinobacillus pleuropneumoniae		S4074					GCF_003290385.1-RS_2024_03_28	Complete Genome	2018-07-08		1
GCF_000146165.2	ASM14616v2	Shewanella oneidensis MR-1		MR-1					GCF_000146165.2-RS_2024_03_28	Complete Genome	2012-11-02		2
GCF_001750725.1	ASM175072v1	Enterobacter ludwigii		EN-119					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2016-10-03		2
GCF_900637475.1	51108_B01	Yersinia pseudotuberculosis		NCTC10275					GCF_900637475.1-RS_2024_12_13	Complete Genome	2018-12-20		1
GCF_000007365.1	ASM736v1	Buchnera aphidicola str. Sg (Schizaphis graminum)		Sg (ex Schizaphis graminum)					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2002-07-02		1
GCF_001558415.2	ASM155841v2	Vibrio fluvialis		ATCC 33809					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-01-29		2
GCF_009183365.2	ASM918336v2	Shewanella algae		CECT-5071					GCF_009183365.2-RS_2024_03_30	Complete Genome	2021-03-24		1
GCF_020097475.1	ASM2009747v1	Escherichia fergusonii		FDAARGOS_1499					GCF_020097475.1-RS_2024_11_06	Complete Genome	2021-09-23		2
GCF_000007805.1	ASM780v1	Pseudomonas syringae pv. tomato str. DC3000		DC3000					GCF_000007805.1-RS_2024_08_08	Complete Genome	2003-03-05		3
GCF_001456255.1	ASM145625v1	Vibrio natriegens NBRC 15636 = ATCC 14048 = DSM 759		ATCC 14048					GCF_001456255.1-RS_2024_04_26	Complete Genome	2015-12-03		2
GCF_020099335.1	ASM2009933v1	Citrobacter amalonaticus		FDAARGOS_1489					GCF_020099335.1-RS_2024_11_06	Complete Genome	2021-09-23		3
GCF_017724035.1	ASM1772403v1	Xanthomonas euvesicatoria pv. alfalfae		CFBP3836					GCF_017724035.1-RS_2024_05_06	Complete Genome	2021-04-03		2
GCF_001006005.1	ASM100600v1	Serratia fonticola		DSM 4576					GCF_001006005.1-RS_2024_04_26	Complete Genome	2015-05-11		1
GCF_016406325.1	ASM1640632v1	Shewanella putrefaciens		ATCC 8071					GCF_016406325.1-RS_2024_12_13	Complete Genome	2020-12-27		1
GCF_003049785.1	ASM304978v1	Dickeya dadantii		DSM 18020					GCF_003049785.1-RS_2024_08_07	Complete Genome	2018-04-12		1
GCF_004792415.1	ASM479241v1	Pantoea vagans		LMG 24199					GCF_004792415.1-RS_2024_03_22	Complete Genome	2019-04-14		3
GCF_021278985.1	ASM2127898v1	Citrobacter rodentium NBRC 105723 = DSM 16636		DSM 16636					GCF_021278985.1-RS_2024_03_28	Complete Genome	2021-12-23		2
GCF_000422085.1	ASM42208v1	Serratia liquefaciens ATCC 27592		ATCC 27592					GCF_000422085.1-RS_2024_12_09	Complete Genome	2013-07-11		2
GCF_003343245.1	ASM334324v1	Photorhabdus laumondii subsp. laumondii		TT01					GCF_003343245.1-RS_2024_03_29	Complete Genome	2018-07-26		1
GCF_900324475.1	EB-247	Enterobacter bugandensis					EB-247		GCF_900324475.1-RS_2024_12_13	Complete Genome	2018-04-04		1
GCF_000196795.1	ASM19679v1	Acinetobacter oleivorans DR1		DR1					GCF_000196795.1-RS_2024_11_19	Complete Genome	2010-06-21		1
GCF_000196875.2	ASM19687v2	Halomonas elongata DSM 2581		type strain: DSM 2581					GCF_000196875.2-RS_2024_11_21	Complete Genome	2017-01-31		1
GCF_002812485.1	ASM281248v1	Dickeya fangzhongdai		DSM 101947					GCF_002812485.1-RS_2024_04_22	Complete Genome	2017-12-06		2
GCF_016127215.1	ASM1612721v1	Haemophilus parainfluenzae		FDAARGOS_1000					GCF_016127215.1-RS_2024_12_13	Complete Genome	2020-12-20		1
GCF_016026735.1	ASM1602673v1	Serratia rubidaea		FDAARGOS_926					GCF_016026735.1-RS_2024_12_11	Complete Genome	2020-12-14		1
GCF_001742145.1	ASM174214v1	Pectobacterium parmentieri		RNS 08-42-1A					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2016-09-22		1
GCF_000821185.2	ASM82118v2	Serratia symbiotica		CWBI-2.3					GCF_000821185.2-RS_2024_03_15	Complete Genome	2020-07-14		3
GCF_000055785.1	ASM5578v1	Chromohalobacter israelensis DSM 3043		DSM 3043					GCF_000055785.1-RS_2024_08_18	Complete Genome	2006-04-11		1
GCF_001644705.1	ASM164470v1	Dickeya solani IPO 2222		IPO 2222					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2016-05-16		1
GCF_014779555.2	ASM1477955v2	Lysobacter capsici		VKM B-2533					GCF_014779555.2-RS_2024_05_06	Complete Genome	2022-04-14		1
GCF_016127195.1	ASM1612719v1	Aeromonas jandaei		FDAARGOS_986					GCF_016127195.1-RS_2024_12_13	Complete Genome	2020-12-20		1
GCF_000026105.1	ASM2610v1	Pseudomonas entomophila L48		L48					GCF_000026105.1-RS_2024_03_28	Complete Genome	2006-05-10		1
GCF_000300455.3	ASM30045v4	Kosakonia sacchari SP1		SP1					GCF_000300455.3-RS_2024_12_09	Complete Genome	2016-07-11		1
GCF_000252995.1	ASM25299v1	Salmonella bongori NCTC 12419		NCTC 12419					GCF_000252995.1-RS_2024_12_09	Complete Genome	2011-07-06		1
GCF_001277215.2	ASM127721v2	Cronobacter malonaticus LMG 23826		LMG 23826					GCF_001277215.2-RS_2024_03_28	Complete Genome	2016-01-13		3
GCF_016028515.1	ASM1602851v1	Stutzerimonas frequens		FDAARGOS_877					GCF_016028515.1-RS_2024_08_13	Complete Genome	2020-12-14		1
GCF_019047465.1	ASM1904746v1	Lelliottia amnigena		FDAARGOS 1444					GCF_019047465.1-RS_2024_07_20	Complete Genome	2021-06-28		1
GCF_000818015.1	ASM81801v1	Stutzerimonas balearica DSM 6083		DSM6083 (=SP1402)					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2015-01-14		1
GCF_040529065.1	ASM4052906v1	Xanthomonas sacchari		CFBP4641					GCF_040529065.1-RS_2024_07_06	Complete Genome	2024-07-07		1
GCF_900183975.1	PD885.1	Xanthomonas fragariae		PD885					GCF_900183975.1-RS_2024_05_05	Complete Genome	2017-05-25		3
GCF_006364355.1	ASM636435v1	Vibrio furnissii		FDAARGOS_777					GCF_006364355.1-RS_2024_03_28	Complete Genome	2019-06-19		3
GCF_900636915.1	45532_F02	Aggregatibacter aphrophilus ATCC 33389		NCTC 5906					GCF_900636915.1-RS_2024_12_11	Complete Genome	2018-12-20		1
GCF_024347355.1	ASM2434735v1	Vibrio chagasii		LMG 21353					GCF_024347355.1-RS_2024_10_11	Complete Genome	2022-07-13		5
GCF_002310835.1	ASM231083v1	Pseudoalteromonas tetraodonis		GFC					GCF_002310835.1-RS_2024_12_09	Complete Genome	2017-09-18		2
GCF_000953635.1	LMI	Legionella micdadei		ATCC 33218					GCF_000953635.1-RS_2024_06_10	Complete Genome	2014-10-21		1
GCF_001553955.1	ASM155395v1	Moraxella osloensis		CCUG 350					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2016-02-09		5
GCF_016027855.1	ASM1602785v1	Atlantibacter hermannii		FDAARGOS_888					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-12-14		1
GCF_024347315.1	ASM2434731v1	Vibrio atlanticus		CECT 7223					GCF_024347315.1-RS_2024_03_29	Complete Genome	2022-07-13		3
GCF_000017245.1	ASM1724v1	Actinobacillus succinogenes 130Z		130Z					GCF_000017245.1-RS_2024_11_18	Complete Genome	2007-07-05		1
GCF_000012805.1	ASM1280v1	Nitrosococcus oceani ATCC 19707		ATCC 19707; JCM30415 (Type strain)					GCF_000012805.1-RS_2024_04_26	Complete Genome	2005-10-04		2
